,0,total_value
501,건오징어,0.19999999999999996
502,건의,-0.4545454545454546
503,건저,-0.5714285714285714
504,건전지,-0.35384615384615387
505,건져,-0.43999999999999995
506,건졌,0.06666666666666665
507,건조,0.04468599033816423
508,건조기,-0.34825870646766166
509,건조대,-0.23404255319148937
510,건지,-0.7987784564131037
511,건진,-0.5164835164835164
512,건청어,0.4545454545454546
513,건포도,-0.8181818181818181
514,걷,-0.49746192893401014
515,걸,-0.4714946070878274
516,걸기,-0.13043478260869562
517,걸까,-0.5185185185185186
518,걸까요,-0.7636363636363637
519,걸때,-0.29411764705882354
520,걸러,-0.4285714285714286
521,걸레,-0.5859649122807018
522,걸레질,-0.4666666666666666
523,걸려,-0.6467661691542288
524,걸려도,-0.588235294117647
525,걸려서,-0.5861148197596795
526,걸려요,-0.6799999999999999
527,걸렸,-0.34622536258832276
528,걸렸으니,-0.4666666666666666
529,걸로,-0.24329106458271893
530,걸루,-0.13559322033898308
531,걸리,-0.5590032910202163
532,걸리적거리,0.05882352941176472
533,걸린,-0.3919753086419753
534,걸린다,-0.6666666666666667
535,걸린다고,-0.6164383561643836
536,걸린다는,-0.4615384615384615
537,걸릴,-0.48169014084507045
538,걸릴까,-0.8
539,걸릴지,-0.7647058823529411
540,걸림,-0.8002773925104023
541,걸립니다,-0.7435897435897436
542,걸맞,-0.19999999999999996
543,걸쇠,-0.2631578947368421
544,걸어가,-0.894736842105263
545,걸어다니,-0.6603773584905661
546,걸어도,-0.32530120481927716
547,걸어서,-0.29411764705882354
548,걸어야,-0.5483870967741935
549,걸요,-0.2173913043478261
550,걸으니,-0.35714285714285715
551,걸으면,-0.5769230769230769
552,걸음,-0.6296296296296295
553,걸이,-0.4166666666666667
554,걸쳐,-0.3333333333333333
555,걸쳐서,-0.17647058823529416
556,걸치,0.203125
557,걸친,-0.3333333333333333
558,검,-0.6195786864931847
559,검댕,-0.7391304347826086
560,검붉,-0.4444444444444444
561,검사,-0.7025641025641025
562,검색,0.2173913043478261
563,검수,-0.9353493222106362
564,검은색,-0.5389830508474576
565,검정,-0.2985735366453517
566,검증,0.3333333333333333
567,검지,-0.5172413793103448
568,검진,0.3846153846153846
569,검출,-0.14285714285714285
570,검토,-0.5555555555555556
571,검품,-0.8936170212765957
572,겁,-0.29078014184397166
573,겁나,-0.5254237288135593
574,겁나게,-0.4318181818181818
575,겁내,-0.4761904761904762
576,겁니까,-0.9226190476190477
577,겁니다,-0.4165853658536585
578,것,-0.05840528186896904
579,겄,-0.14285714285714285
580,겉,-0.49572086899275836
581,겉감,-0.37837837837837834
582,겉껍질,-0.4482758620689655
583,겉도,-0.6666666666666667
584,겉돌,-0.5217391304347827
585,겉면,-0.6047904191616766
586,겉모습,-0.6363636363636365
587,겉모양,-0.588235294117647
588,겉보기,-0.43137254901960786
589,겉옷,-0.22388059701492535
590,겉절이,-0.8181818181818181
591,겉표지,-0.6666666666666667
592,게,-0.3348838899589344
593,게다가,-0.4545454545454546
594,게살,-0.7714285714285714
595,게시,-0.39999999999999997
596,게시판,-0.8150289017341041
597,게여,0.6326530612244898
598,게요,0.6470033034450213
599,게이,0.5
600,게이너,0.509433962264151
601,게이밍,0.3333333333333333
602,게임,0.13151364764267992
603,게임기,0.2727272727272727
604,게장,-0.8780487804878048
605,겐,0.6799999999999999
606,겔,0.4773869346733668
607,겜,-0.10526315789473689
608,겟,0.6144578313253013
609,겠,-0.2644135188866799
610,겠는데,-0.7333333333333334
611,겠다,-0.4482758620689655
612,겠다고,-0.6000000000000001
613,겠다는,-0.1875
614,겠어,0.21052631578947367
615,겠어요,-0.105542900531511
616,겠죠,0.1921824104234528
617,겠지만,0.14285714285714285
618,겡,0.4444444444444444
619,겨,-0.013698630136986356
620,겨대,0.8064516129032258
621,겨드랑,-0.625
622,겨드랑이,-0.7345132743362832
623,겨우,-0.817351598173516
624,겨우겨우,-0.801980198019802
625,겨우내,0.8571428571428572
626,겨울,0.3014553014553014
627,겨울옷,-0.4883720930232558
628,겨울철,0.45599999999999996
629,겨자,-0.7391304347826086
630,겨자색,-0.2592592592592593
631,격,0.1900826446280992
632,격도,0.7333333333333334
633,격식,0.5555555555555556
634,격하,0.6206896551724137
635,겪,-0.6326530612244898
636,견,0.00952380952380949
